month,Forecast,Lower Bound,Upper Bound,Route
2025-01-31,423818.0,344794.8341975916,502841.1658024084,66
2025-02-28,423818.0,312062.36718057626,535573.6328194238,66
2025-03-31,423818.0,286945.8618552892,560690.1381447108,66
2025-04-30,423818.0,265771.66839518317,581864.3316048168,66
2025-05-31,423818.0,247116.82946857807,600519.1705314219,66
2025-06-30,423818.0,230251.5659247462,617384.4340752538,66
2025-07-31,423818.0,214742.3554738034,632893.6445261966,66
2025-08-31,423818.0,200306.73436115248,647329.2656388475,66
2025-09-30,423818.0,186748.50259277475,660887.4974072252,66
2025-10-31,423818.0,173924.808147262,673711.191852738,66
2025-11-30,423818.0,161727.80928736716,685908.1907126328,66
2025-12-31,423818.0,150073.72371057846,697562.2762894216,66
2025-01-31,401257.81670790893,335588.7514088064,466926.88200701145,9
2025-02-28,418404.36163633224,325534.27886197716,511274.4444106873,9
2025-03-31,428834.26527169155,315092.1076880878,542576.4228552952,9
2025-04-30,440951.9151894834,309613.78459127847,572290.0457876883,9
2025-05-31,455255.0875546812,308414.59352701553,602095.5815823468,9
2025-06-30,438435.5881003543,277579.8862320441,599291.2899686645,9
2025-07-31,449788.802084882,276044.7864733955,623532.8176963686,9
2025-08-31,450131.4363531421,264391.27080443193,635871.6019018523,9
2025-09-30,457074.3497150583,260067.15381775095,654081.5456123656,9
2025-10-31,473198.83960251336,265535.0214430232,680862.6577620036,9
2025-11-30,443267.4135666628,225467.76363619207,661067.0634971336,9
2025-12-31,429506.32991140435,202022.0147441969,656990.6450786118,9
2025-01-31,369128.8230526499,286389.2571568192,451868.3889484806,8
2025-02-28,406482.9371533162,260243.85937678666,552722.0149298458,8
2025-03-31,419919.8849960723,242533.64638255065,597306.1236095938,8
2025-04-30,412726.50949116756,220515.661904035,604937.3570783001,8
2025-05-31,397880.47916456795,192940.2902974144,602820.6680317215,8
2025-06-30,389843.47887215996,169211.48223873205,610475.4755055879,8
2025-07-31,397265.8219719247,159769.51313644327,634762.130807406,8
2025-08-31,405199.54689718917,152641.58183302358,657757.5119613548,8
2025-09-30,416322.9885921706,150723.19060145965,681922.7865828816,8
2025-10-31,424111.7658843053,146315.63776992052,701907.8939986901,8
2025-11-30,407326.58089255495,117474.75601601403,697178.4057690959,8
2025-12-31,391311.6415270559,89620.30767107086,693002.975383041,8
2025-01-31,377160.0,305532.16738781205,448787.83261218795,79
2025-02-28,377160.0,275862.947676454,478457.052323546,79
2025-03-31,377160.0,253096.95467965154,501223.04532034846,79
2025-04-30,377160.0,233904.33477562413,520415.6652243759,79
2025-05-31,377160.0,216995.29719817147,537324.7028018285,79
2025-06-30,377160.0,201708.35871865525,552611.6412813447,79
2025-07-31,377160.0,187650.56795758873,566669.4320424113,79
2025-08-31,377160.0,174565.8953529079,579754.104647092,79
2025-09-30,377160.0,162276.5021634362,592043.4978365637,79
2025-10-31,377160.0,150652.90508419802,603667.094915802,79
2025-11-30,377160.0,139597.35467899052,614722.6453210094,79
2025-12-31,377160.0,129033.90935930307,625286.0906406969,79
2025-01-31,322495.4437376418,262422.17394997674,382568.71352530684,53
2025-02-28,335519.50815474044,250563.0752849267,420475.9410245542,53
2025-03-31,342197.12970297114,238147.1742539429,446247.0851519994,53
2025-04-30,349042.04978674825,228895.5102114182,469188.5893620783,53
2025-05-31,367528.05848834274,233200.1436124394,501855.9733642461,53
2025-06-30,340396.67956083675,193247.8214005047,487545.53772116883,53
2025-07-31,346597.2543023439,187658.32200169226,505536.1866029955,53
2025-08-31,353094.52682828624,183181.66108865867,523007.3925679138,53
2025-09-30,359585.175472614,179365.36610961892,539804.9848356091,53
2025-10-31,374533.7655892376,184565.40656643646,564502.1246120387,53
2025-11-30,343921.1496914963,144680.6538760184,543161.6455069742,53
2025-12-31,330923.64386460016,122823.73296654367,539023.5547626567,53
2025-01-31,318536.082966747,255234.96310873132,381837.2028247627,3
2025-02-28,336299.76661074156,232972.1761340482,439627.3570874349,3
2025-03-31,343086.30027716194,211381.51626321799,474791.08429110586,3
2025-04-30,354983.609882156,200013.58274593845,509953.6370183736,3
2025-05-31,364034.9011972948,188862.79014921616,539207.0122453735,3
2025-06-30,353849.19440523506,160575.2239190861,547123.1648913841,3
2025-07-31,352754.2899880129,142934.39854318072,562574.1814328451,3
2025-08-31,353309.8888068712,128156.72754911415,578463.0500646282,3
2025-09-30,360000.29247237474,120493.49673830392,599507.0882064456,3
2025-10-31,377839.7395916681,124792.18599503223,630887.2931883041,3
2025-11-30,349370.5954218432,83470.94600559684,615270.2448380894,3
2025-12-31,335591.4188497485,57432.862019074906,613749.975680422,3
2025-01-31,333614.53742224735,256692.0636393865,410537.0112051082,77
2025-02-28,341794.7735191714,233009.9678441608,450579.579194182,77
2025-03-31,347779.4285949889,214545.79575918906,481013.0614307887,77
2025-04-30,349043.16104447766,195198.21347875608,502888.10861019924,77
2025-05-31,357110.5269947961,185106.64661887402,529114.4073707182,77
2025-06-30,346116.10813349456,157695.29761286918,534536.91865412,77
2025-07-31,347979.63094516064,144461.89508382513,551497.3668064962,77
2025-08-31,352858.60962014203,135288.99827012097,570428.2209701631,77
2025-09-30,357728.82770160184,126961.40635301953,588496.2490501842,77
2025-10-31,365419.41896479984,122169.19855637138,608669.6393732283,77
2025-11-30,348046.82993224444,92923.84644854508,603169.8134159438,77
2025-12-31,340537.82322224375,74070.55755064415,607005.0888938433,77
2025-01-31,306772.0108173576,247244.09821144494,366299.92342327023,49
2025-02-28,318319.31444317434,234134.13309613237,402504.4957902163,49
2025-03-31,325239.79081018665,222134.42170822615,428345.15991214715,49
2025-04-30,331227.93601359526,212172.11080177003,450283.7612254205,49
2025-05-31,339059.1943605782,205950.73521509094,472167.6535060655,49
2025-06-30,327028.0290876668,181215.01775019037,472841.0404251432,49
2025-07-31,329791.6639654479,172295.61114341623,487287.7167874796,49
2025-08-31,334074.6054995089,165704.24280542496,502444.96819359285,49
2025-09-30,335444.30926579365,156860.5714480558,514028.0470835315,49
2025-10-31,343502.79725183116,155259.00906169802,531746.5854419643,49
2025-11-30,321693.1302509642,124261.37958408467,519124.8809178437,49
2025-12-31,314351.10744850023,108140.36924457923,520561.84565242124,49
2025-01-31,336329.0,273348.78051629395,399309.21948370605,22
2025-02-28,336329.0,247261.51944490868,425396.4805550913,22
2025-03-31,336329.0,227244.05998238182,445413.9400176182,22
2025-04-30,336329.0,210368.56103258795,462289.43896741205,22
2025-05-31,336329.0,195500.9479965766,477157.0520034234,22
2025-06-30,336329.0,182059.5983764288,490598.4016235712,22
2025-07-31,336329.0,169699.0017298491,502958.9982701509,22
2025-08-31,336329.0,158194.03888981737,514463.96111018263,22
2025-09-30,336329.0,147388.3415488819,525269.658451118,22
2025-10-31,336329.0,137168.0588941751,535489.9411058249,22
2025-11-30,336329.0,127447.24275831642,545210.7572416835,22
2025-12-31,336329.0,118159.11996476364,554498.8800352364,22
2025-01-31,296229.0,249844.71435062142,342613.2856493786,36
2025-02-28,296229.0,230631.71415366107,361826.28584633896,36
2025-03-31,296229.0,215889.06058248834,376568.9394175117,36
2025-04-30,296229.0,203460.42870124284,388997.57129875716,36
2025-05-31,296229.0,192510.5842002215,399947.41579977854,36
2025-06-30,296229.0,182611.16807552218,409846.8319244778,36
2025-07-31,296229.0,173507.71543036212,418950.28456963785,36
2025-08-31,296229.0,165034.42830732214,427423.57169267786,36
2025-09-30,296229.0,157076.14305186423,435381.85694813577,36
2025-10-31,296229.0,149549.00970810137,442908.9902918986,36
2025-11-30,296229.0,142389.72833234476,450068.2716676552,36
2025-12-31,296229.0,135549.12116497668,456908.8788350233,36
